iter	Accuracy	Logloss
0	0.7374173138	0.677795248
1	0.7512223181	0.6635205716
2	0.763445499	0.6500729543
3	0.7677595628	0.6364780374
4	0.7686223756	0.6270124428
5	0.7689099799	0.6164351741
6	0.7697727926	0.6068408421
7	0.7706356054	0.5972636244
8	0.769053782	0.5881043335
9	0.7704918033	0.5792997789
10	0.770204199	0.5708930297
11	0.7732240437	0.5638975988
12	0.7730802416	0.5574104728
13	0.7762438884	0.5508551048
14	0.7765314927	0.5454829173
15	0.7742306586	0.539369917
16	0.7737992522	0.533778407
17	0.7776819097	0.5291287008
18	0.7788323267	0.5253249067
19	0.7789761288	0.5204982582
20	0.7801265459	0.5157336274
21	0.7809893586	0.5112741125
22	0.7825711821	0.5078604868
23	0.7822835778	0.5044371256
24	0.781420765	0.5016980433
25	0.7845844118	0.4992182023
26	0.7853034225	0.4963740363
27	0.7850158182	0.4932453693
28	0.7850158182	0.4906460854
29	0.7851596204	0.4878327672
30	0.7857348289	0.4851092193
31	0.7884670693	0.4826828412
32	0.7890422778	0.4808548067
33	0.7896174863	0.4785146023
34	0.7893298821	0.4763763733
35	0.7910555076	0.4737709454
36	0.7907679034	0.4717715868
37	0.7907679034	0.4702131743
38	0.7917745183	0.4682646062
39	0.7917745183	0.466925573
40	0.7929249353	0.4656091584
41	0.7936439459	0.4636824403
42	0.7943629566	0.4622432061
43	0.7958009779	0.4605156246
44	0.7958009779	0.4590578709
45	0.7956571757	0.4578315426
46	0.7949381651	0.4559910302
47	0.7960885821	0.4541730144
48	0.7973828013	0.4528272722
49	0.7973828013	0.4513996912
50	0.7973828013	0.4501513363
51	0.7968075928	0.4488753903
52	0.7965199885	0.4474709425
53	0.7963761864	0.4463026901
54	0.798245614	0.445360661
55	0.7981018119	0.4440392921
56	0.7976704055	0.4431411902
57	0.7978142077	0.4418810295
58	0.7981018119	0.4409051041
59	0.7989646247	0.4398264641
60	0.7996836353	0.4385104533
61	0.7999712396	0.437492147
62	0.8011216566	0.4367565994
63	0.8008340523	0.4363219147
64	0.8011216566	0.4355738025
65	0.8019844694	0.4344333624
66	0.8019844694	0.4335231355
67	0.8018406672	0.4327045725
68	0.80270348	0.4318280315
69	0.8039976992	0.4308354042
70	0.8035662928	0.4301095359
71	0.8034224907	0.4295965751
72	0.8028472821	0.4290169005
73	0.8048605119	0.4279173899
74	0.8044291056	0.4272749562
75	0.8042853034	0.4270887665
76	0.8045729077	0.4260200932
77	0.8055795226	0.425327662
78	0.8054357204	0.4246822887
79	0.8057233247	0.4240468937
80	0.8061547311	0.4231394771
81	0.8064423353	0.422582838
82	0.8061547311	0.4222496269
83	0.8064423353	0.4215258472
84	0.8062985332	0.4208091168
85	0.8067299396	0.4202308057
86	0.8073051481	0.4198214175
87	0.807161346	0.4193851076
88	0.8068737417	0.4189902607
89	0.8077365545	0.4180111784
90	0.8073051481	0.4175552621
91	0.8075927524	0.4171591183
92	0.808311763	0.416717262
93	0.8081679609	0.4157940211
94	0.8080241588	0.4155971171
95	0.8081679609	0.4150673584
96	0.8077365545	0.4146988491
97	0.8080241588	0.4142529415
98	0.8080241588	0.4137635064
99	0.8088869715	0.4132905121
100	0.8091745758	0.412785175
101	0.8090307737	0.412441668
102	0.80946218	0.4117833647
103	0.8097497843	0.4112218505
104	0.8101811907	0.4110077517
105	0.8104687949	0.4104987507
106	0.8106125971	0.4101618176
107	0.8110440035	0.409892945
108	0.8113316077	0.4092579847
109	0.8114754098	0.4088281978
110	0.8120506183	0.4084867281
111	0.812769629	0.408157834
112	0.812769629	0.4072611056
113	0.8129134311	0.4068795892
114	0.8129134311	0.4062903688
115	0.8124820247	0.4058906183
116	0.8124820247	0.4052732664
117	0.8132010354	0.4046542883
118	0.8132010354	0.4040479779
119	0.8132010354	0.4038513941
120	0.8130572332	0.4035399319
121	0.8132010354	0.4032797756
122	0.8134886396	0.4029862603
123	0.8134886396	0.4029429908
124	0.813920046	0.4024391157
125	0.8137762439	0.4020552913
126	0.8137762439	0.4020379279
127	0.8142076503	0.401874509
128	0.8143514524	0.4015611955
129	0.8146390567	0.4013567694
130	0.815070463	0.4008854873
131	0.8162208801	0.4003237788
132	0.8162208801	0.3999757466
133	0.8166522865	0.3995236864
134	0.8169398907	0.3990322541
135	0.8167960886	0.3989843503
136	0.8170836928	0.3985154376
137	0.8169398907	0.3981557537
138	0.8169398907	0.3980008675
139	0.8169398907	0.3977190047
140	0.8170836928	0.3974634006
141	0.8175150992	0.3970818313
