iter	Passed	Remaining
0	80	121246
1	119	89732
2	155	77548
3	208	78104
4	240	71788
5	267	66540
6	300	64097
7	330	61586
8	358	59354
9	385	57466
10	410	55627
11	435	53973
12	462	52877
13	486	51687
14	512	50697
15	538	49942
16	563	49176
17	591	48693
18	622	48499
19	650	48106
20	678	47787
21	704	47328
22	727	46690
23	755	46477
24	780	46053
25	812	46054
26	844	46052
27	868	45650
28	894	45354
29	919	45074
30	947	44922
31	976	44789
32	1002	44545
33	1029	44390
34	1054	44125
35	1079	43905
36	1103	43640
37	1127	43368
38	1151	43148
39	1173	42848
40	1206	42927
41	1232	42790
42	1288	43670
43	1321	43727
44	1344	43487
45	1379	43590
46	1403	43376
47	1428	43224
48	1456	43115
49	1483	43015
50	1512	42982
51	1539	42879
52	1571	42906
53	1595	42733
54	1624	42682
55	1651	42580
56	1679	42528
57	1707	42450
58	1732	42318
59	1758	42205
60	1787	42163
61	1815	42101
62	1840	41980
63	1854	41617
64	1880	41525
65	1905	41411
66	1929	41265
67	1955	41174
68	1976	40998
69	2000	40876
70	2029	40839
71	2054	40740
72	2081	40680
73	2106	40585
74	2132	40509
75	2145	40192
76	2171	40127
77	2200	40119
78	2226	40041
79	2251	39967
80	2309	40461
81	2362	40861
82	2413	41199
83	2444	41199
84	2469	41117
85	2497	41055
86	2527	41055
87	2552	40962
88	2576	40853
89	2600	40738
90	2626	40673
91	2652	40602
92	2676	40496
93	2701	40403
94	2716	40175
95	2743	40126
96	2769	40062
97	2795	39994
98	2821	39930
99	2847	39866
100	2870	39754
101	2894	39671
102	2920	39616
103	2950	39609
104	2975	39533
105	3000	39458
106	3029	39438
107	3056	39390
108	3082	39335
109	3105	39243
110	3130	39167
111	3153	39083
112	3177	39004
113	3206	38982
114	3231	38923
115	3257	38868
116	3286	38842
117	3309	38756
118	3333	38688
119	3359	38628
120	3382	38552
121	3409	38512
122	3435	38465
123	3448	38268
124	3470	38172
125	3493	38100
126	3503	37872
127	3528	37825
128	3560	37837
129	3588	37815
130	3612	37753
131	3642	37745
132	3668	37706
133	3693	37653
134	3720	37623
135	3737	37487
136	3765	37460
137	3789	37404
138	3814	37349
139	3840	37303
140	3866	37262
141	3889	37196
142	3913	37136
143	3939	37096
144	3969	37096
145	3996	37066
146	4024	37039
147	4051	37015
148	4075	36951
149	4103	36927
150	4127	36878
151	4154	36846
152	4179	36792
153	4204	36752
154	4231	36717
155	4253	36644
156	4278	36599
157	4302	36542
158	4328	36506
159	4354	36469
160	4381	36441
161	4408	36407
162	4434	36370
163	4459	36330
164	4486	36299
165	4514	36279
166	4539	36236
167	4568	36222
168	4598	36213
169	4622	36166
170	4646	36112
171	4672	36077
172	4696	36022
173	4722	35987
174	4747	35945
175	4777	35936
176	4810	35957
177	4835	35915
178	4856	35837
179	4878	35778
180	4907	35762
181	4935	35740
182	4958	35683
183	4983	35645
184	5007	35595
185	5035	35574
186	5060	35534
187	5085	35488
188	5114	35474
189	5139	35438
190	5166	35410
191	5188	35347
192	5218	35337
193	5244	35305
194	5289	35399
195	5354	35621
196	5398	35706
197	5442	35785
198	5493	35916
199	5519	35874
200	5584	36093
201	5610	36050
202	5661	36174
203	5717	36325
204	5752	36340
205	5777	36288
206	5807	36277
207	5851	36348
208	5878	36310
209	5901	36253
210	5927	36212
211	5955	36180
212	5980	36136
213	6006	36092
214	6033	36062
215	6058	36012
216	6082	35960
217	6111	35942
218	6138	35907
219	6170	35900
220	6200	35884
221	6222	35823
222	6247	35778
223	6272	35728
224	6295	35673
225	6320	35630
226	6346	35592
227	6372	35553
228	6389	35461
229	6411	35404
230	6438	35368
231	6461	35313
232	6487	35275
233	6511	35229
234	6537	35188
235	6564	35157
236	6590	35120
237	6614	35072
238	6639	35029
239	6665	34994
240	6689	34943
241	6714	34902
242	6743	34882
243	6773	34866
244	6798	34827
245	6823	34785
246	6848	34742
